sample_size,rep,observed_correlation,p_value,significant,null_corr_threshold,null_corr_variance
6000,0,0.0020105302633262514,0.8702,False,0.03645348213961061,0.00016784574461678185
6000,1,0.005305119358964132,0.677,False,0.035635729333935696,0.00016496004344940487
6000,2,0.00392143512744547,0.7798,False,0.03574627937422621,0.0001694959964151865
6000,3,0.001886705036260857,0.8978,False,0.03512112453722669,0.0001635028562997344
6000,4,0.01722488325773178,0.1844,False,0.03579326856699935,0.00016556446659134568
6000,5,0.00506180809438988,0.6952,False,0.036235564471683,0.00016452746954523029
6000,6,-0.0035310088663605414,0.78,False,0.03597760610404897,0.00016637099331757405
6000,7,0.017860662951925812,0.1718,False,0.036485666200877634,0.0001671761572608098
6000,8,0.01016626902432063,0.4334,False,0.03559750081149283,0.0001633006775190236
6000,9,0.012906417028019576,0.316,False,0.037049290570906925,0.0001683662476301639
6000,10,0.020866018479140207,0.1094,False,0.03693474092759758,0.00017018859308900815
6000,11,0.008750349115420197,0.4888,False,0.03581054978445793,0.00016881453612309347
6000,12,0.028174342613734735,0.029,False,0.035748697450339054,0.00016475195336102867
6000,13,0.006702016316292022,0.6058,False,0.035564962998807285,0.00016455618342222983
6000,14,-0.012180966773829802,0.3404,False,0.0359519317758192,0.00016456522641361443
6000,15,0.0013719851597546403,0.9364,False,0.03574073956309583,0.0001649505346893383
6000,16,0.00014487396937428042,0.9894,False,0.0366385232483709,0.00016722465240879346
6000,17,0.014979939414569866,0.2408,False,0.035938363941842855,0.0001647750423488156
6000,18,0.02133906515781348,0.0884,False,0.03601492569723706,0.00016291653879855786
6000,19,-0.0036837223715899567,0.774,False,0.035795744652397994,0.00016901374168979774
6000,20,0.0030315614052520367,0.8146,False,0.03614641241161022,0.00016398971325440022
6000,21,0.016804560706651837,0.1968,False,0.03677812610729936,0.00017217697043253371
6000,22,0.010447384351301981,0.4122,False,0.036253614068737984,0.00016338801168419066
6000,23,0.01704773434528106,0.1906,False,0.03576130179718003,0.00016629087093594067
6000,24,0.006556056847508138,0.61,False,0.03577313787487918,0.00016370048314776143
6000,25,0.005084592837862251,0.689,False,0.03626427232016106,0.00016437282403632578
6000,26,0.011519993790802124,0.3618,False,0.036603966449085465,0.00016641439689763123
6000,27,0.007754679210090221,0.559,False,0.03577980531465893,0.00016871806143960792
6000,28,0.022169581933435725,0.092,False,0.036182864502555666,0.0001695194383309976
6000,29,0.032089268213484394,0.0154,False,0.036050562814624015,0.00016863310376609032
6000,30,0.0171287088641968,0.1804,False,0.03589121770226571,0.00016729043745196116
6000,31,0.005328908762960855,0.6876,False,0.0369350268577343,0.0001681602236253586
6000,32,-0.004251311290604346,0.7496,False,0.03647183538881532,0.00016696902009968344
6000,33,-0.0028139444889509427,0.8344,False,0.035981222445811784,0.00016238363481701113
6000,34,0.01381260625695788,0.287,False,0.03580780493739794,0.0001670714222162917
6000,35,0.01847217898922347,0.149,False,0.03657494502551159,0.00016648576482955938
6000,36,-0.00516793830706018,0.7016,False,0.03629268273659204,0.00016731876401388234
6000,37,0.001064449389372844,0.9158,False,0.03577696679467708,0.00016534521069084193
6000,38,-0.00187647027619809,0.8994,False,0.03662333676018099,0.00016544918309548904
6000,39,0.0104969669089239,0.4096,False,0.037065650133374296,0.00016870450646455995
6000,40,-0.008247509264573885,0.5084,False,0.036797057273876874,0.00016864480522994448
6000,41,0.0062560422196260785,0.622,False,0.0363692962500565,0.00016084343951400487
