,meis1,rad51,gfi1b,spi1,hcfc1,mef2c,ikzf1,jun,irf1,myc,hdac2,stat3,notch1,fos,satb1,esr1,nfat5,ebf1,gata2,gfi1,ets1,cbx7,cbfb,foxo1,nr4a1,bmi1,irf8,elf4,bach2,bhlhe40,pou2af1,junb,nr1h3,stat6,tcf7,smad4,stat1,bcl11b,egr2,stat2,elf1,ctsg,elane,mpo,mpl,ccl9,dusp1,tyrobp,clec12a,ltb,ly6a,rgs1,igkc,procr,rab44,pdzk1ip1,sell,esam,f630028o10rik,myl10,maged1,trim47,cd48,tbxas1,bc035044,neurl3,cst7,hacd4,ms4a3,rtp4,pglyrp2,hk3,ifi44,nkg7,mmrn1,atp8b4,msmo1,gimap5,serpina3g,slc18a2,anxa3,nceh1,dennd2d,pcp4l1,gimap1,laptm4b,pqlc3,rhof,pear1,il21r,ly6c2,ldhb,ms4a6b,rab32,ap3s1,gbp2,padi4,myo1f,casp1,ctsl,alas1,itih5,emilin1,zfp386,tcp11l2,cish,vill,ppp1r15a,afap1l1,smpdl3a,tcn2,oasl2,fes,lbp,adgrg3,mfge8,glipr2,igtp,2610035d17rik,fut7,csgalnact2,orai3,cd79b,mapkapk3,sigirr,tgm2,csf2rb,osbpl1a,tnfrsf21,ms4a6c,adssl1,anxa2,dennd1c,krt18,ighm,slc35b4,camk1,1110059e24rik,snx4,glb1
meis1,0.9999999999999999,0.02687582411521934,0.052168488052270076,-0.009050499048061062,-0.00029818337311362847,0.031178428397374038,0.0015620105595443605,-0.023209703382849133,-0.004248381647531849,-0.0012994118782738281,0.047787206516291585,0.045212803662436137,0.009019190947125744,0.03840545753407402,-0.019853937423268735,-0.008903627327646541,0.022136417326706702,0.014318485828757077,0.07326175666715869,-0.01382276830292404,0.04779837049244091,0.01952764415806729,0.0032884700361002685,0.008833847395255232,0.010902143622255134,0.03621542335646038,-0.035085204549551795,0.02503013377258469,0.010829237875989432,0.03185211876647272,,0.03556232654734716,-0.008239843201436814,0.03551852906239255,-0.011410443175151545,0.025217262757425692,0.010739505248209892,0.024713975572132604,,0.03185187628446098,0.040819396650079144,-0.05340456900556023,-0.06079165260865352,-0.05086479682726261,0.07932927779374711,-0.023678831293590892,-0.01068180431522103,0.004261343599430756,-0.02848022371084572,-0.02112520429624297,0.05057332891451655,0.007417693352840234,,0.013138987333061774,-0.02762393248099057,-0.0025232646099407805,-0.00228889990785342,0.008579987932089429,-0.024905631405619633,0.015533374051230607,0.006598553752931743,0.03325489736358279,0.024314304695910713,0.01830427194816303,-0.007377012175590492,0.028412230077697553,0.026578710185588696,0.034992162549562576,-0.05760389264643371,0.015279715650461295,0.00979735252930175,-0.010609877937411095,0.0047743262262051065,0.029435884384189568,0.02587204776364168,-0.021819193813600736,0.042821994229254326,0.01821317428822731,0.06646473763286503,0.04957720292922617,-0.026997891746133658,-0.02280602471861926,0.004210714533782939,0.0031748986159038446,0.042446552071629305,0.00760317493306307,0.0038567276184504036,0.024953975377651164,-0.003729093305991433,0.018874280499541,0.013617213535307785,0.022061352154734124,0.010814420459969625,0.021603522990381298,-0.05141545104440026,0.019823081253096713,0.04318577850725083,-0.04532585984013786,0.017841844737548386,0.0031654242272743808,-0.0059704526985193546,-0.006962964862386576,0.030015564447249614,-0.013638905590566746,-0.00451274892083996,0.041377058023751905,-0.005389387457207135,-0.002396185387005179,0.012162271704458587,0.027537489129767383,-0.013382309197661863,0.010857347386744598,-0.0017374742991606359,-0.02315193570446276,0.02477409314580503,0.011916626516412634,0.017813544366271868,0.0185832281258354,-0.006122059686392427,-0.009609741340755389,0.03747861834357484,0.0063900395586680495,-0.021129867744103907,-0.005934444613729937,-0.012013144151122496,0.02000615103283345,-6.876195315166795e-05,0.0118666531601144,0.00808780291405048,0.019950998289991567,-0.010545747655030106,0.021811883023425675,-0.008744018969005531,0.026773309958186445,0.00979025996653686,0.03549103351215735,0.055231610459605555,-0.00716087662427169,0.034823699596627546,0.015316850167454044
rad51,0.02687582411521934,1.0,0.018216482739492196,0.09931697627333054,0.026503252530201547,0.0018954036278065382,0.013962542279811878,0.04764419360238345,0.006075235940890294,0.030357446873514098,0.05348106174497944,-0.0025459245511965725,-0.0001342649566887104,0.002939609245989144,-0.01331399928915315,0.002519038967943553,0.056618733871862635,-0.012546404326017132,0.01086049327443573,0.055688964629072864,0.04306371323802028,0.004606534881397657,0.061065480171646695,0.013927889482462324,0.006229306411357053,0.01709546028213819,0.020785013409450742,0.03989327886787642,-0.011729660293411144,0.01523820707815262,,0.007285043252569434,-0.0072408088776519195,0.028221135585985616,-0.00846136526519014,0.08769721621909164,0.017917243287587672,-0.010242072843295683,,-0.023973636291274223,0.021483971069715266,0.07855116170787671,0.05316389802121485,0.06344397486317037,0.01385081110627251,-0.01577705875164713,0.008834907236691938,0.05575288832091282,0.018737176061034356,-0.0335691391397861,-0.05818598005504426,0.028996348811848493,,0.015909315992696575,0.03354058289410848,0.007501568037771115,0.03387913781536419,-0.002856430707022893,0.05975135040596957,-0.026331237286770948,0.04069651659689823,-0.014383566700532618,0.03451240115142835,-0.006946459763620142,0.03237316812707229,0.020686464233460173,0.03968393879371211,0.0023655244961403865,0.08090555946709527,-0.0019812395278795956,0.023055352686065244,0.059330369095156474,0.00040238274589658756,0.05305058097343655,-0.00342488067679224,0.014021420094265526,0.0012120289035231326,0.035891497085486175,0.01451101355634025,0.03118528290332146,0.051781175422983924,0.04432763786209062,0.027407658435681895,0.038359617370418875,-0.0208157745279878,0.03313467935809447,7.841509252486903e-05,0.006018186207389756,0.010077062823202587,0.02069674052305703,0.008570768997772184,0.011784813971738967,0.006632296792669965,0.03869120532561511,0.0735645049696911,0.019389995394278603,0.06234965485952515,0.02510144969616973,-0.008241535616521729,0.01761355352419109,0.0026535288204376744,0.02128183947338788,0.03972083326586351,0.021559746947436852,0.0027309287258133297,0.019516652042887304,-0.014957756565246312,0.03834178008872686,0.02010568736940216,0.01083093234786595,0.010705961553012887,-0.0010903678597111261,0.009966652067670456,0.028482841822832543,0.030910611073401168,0.02682754825470003,0.029805537158176486,-0.01664714417265943,-0.023724755164054846,0.007705674287699777,0.034986953107711084,-0.02773773099911647,0.011238786511038313,0.06022070449095107,0.012810506578915089,0.02634436077638588,0.034348217958243,0.004042222879836307,0.07570170134506406,0.050661756367829255,0.005873132109491386,0.010291062900531096,-0.002836571199224046,0.024999117018885627,-0.013797769702985109,0.033600441572070615,0.028204182954807908,0.05595920833596505,0.04884547500802899,-0.035342623535213266
gfi1b,0.052168488052270076,0.018216482739492196,1.0,0.011611788456789814,0.040701395996334176,0.027801107062691566,0.04437347033203694,0.0044822190174327176,-0.028344757017307105,0.023540150306259156,0.012556358769265382,-0.011318861615282373,0.0009268151496550549,0.04556384291440721,0.01642790338466021,0.01742736594716889,-0.01698096052465052,0.06290760255630932,0.08389078087687547,-0.003219636705667539,-0.0011887341525815356,-0.00887699357768548,0.0026117836115423184,0.017060030852117946,-0.01504349548360815,0.053978055701643414,-0.005519314699667339,-0.0003290642996603496,-0.005489918109734144,-0.04462334470117102,,0.02381573680903818,-0.0033512131210464316,-0.015350860124375348,-0.011634208717606611,0.04107077487196976,0.024395228104538945,-0.004740267210352934,,0.0157555076655615,0.042821008815899564,0.009548732898549142,-0.04119436811277107,0.0035259379821447447,0.04438725431766579,0.00375851379754648,0.010982464554847266,0.03106266225183239,0.0016176755254086106,0.018754752832369864,-0.05162677176142902,0.020699696447757866,,-0.004096353382355688,0.01020169998570151,0.07314107504926383,-0.014414577111578028,-0.015043495601865013,0.013509265864265962,-0.007611849562594719,-0.008326264926646182,0.007535216369021142,0.01561842594160268,0.028441933598364007,-0.04505203108946736,0.05341934161185867,0.017011181442822702,0.0016658480365715673,0.04087643233568056,0.03518879880513299,0.0007575787213306318,-0.01578522653697716,0.003483209758170546,0.024324185339227266,-0.011136704064985691,-0.012443676950600164,0.03202927152345136,0.05651912506492144,0.03578455034601756,0.10230537028144152,-0.0032712502425490536,-0.010569456040464612,0.033217179364872694,0.026780452213434645,-0.006956543805052971,-0.007052544688646799,-0.005314583586622381,0.002673868389785608,0.007898710121737434,-0.02871448217709821,-0.014659683069565062,-0.02392783770538401,0.00543890496242839,-0.008641437895790314,0.0036705172585562882,-0.00884739471049998,0.03883701315254624,0.008496312306951533,-0.025583528018172166,0.0008792780792856341,-0.03505726822525891,0.01558096257118154,0.04477564476494979,0.018608214838555227,0.023236641959514078,-0.004154262246250605,-0.013444662231066738,0.05206204787282408,0.032188912348879016,0.011073057492245793,0.03164045256595111,0.018790260390441828,0.03394255168055918,-0.017827934702924098,0.03094135174607561,0.054783049949689466,0.048100802064990116,-0.010883548506339016,-0.016835803274733253,0.05086644941504846,0.07739304625173024,0.03542922101801307,0.014605602904307227,-0.020043241969342325,0.026996541473759777,-0.022851398434265625,0.09234624275256645,0.012153024785881315,0.03554120809311359,0.021822485917353626,0.03327336074803906,0.010620624181448074,0.030544566239425,0.010132835509691258,-0.01281908091144426,0.007947931177018381,-0.030418890646174646,0.07073260752905215,0.022669024962088127,-0.0070306323606269825
spi1,-0.00905049904806106,0.09931697627333053,0.011611788456789814,1.0,0.06307095301975878,0.003882173730807587,0.02718353892420691,0.07239413262344851,0.044460891266024725,0.0647239284348648,0.055602630360794485,0.018436390761378017,-0.0004228307521647228,0.025543889487171248,0.005358503773565633,0.01928204320711094,0.016504004440728262,-0.013967169270375553,-0.023085785226477844,0.09582346960532714,0.010950634081169667,0.0027918215156199884,0.02013340724559828,-0.008992461213471947,0.05291409653103304,-0.029698858687142705,0.06135608608895433,-0.0013686379575161853,0.042461607660105434,0.04468100986861572,,0.06545361515399531,-0.008060763914557132,0.02567089072829798,-0.012886369876857777,0.006426549440988316,-0.0016240660429247963,0.0664484892139915,,0.01488894811988857,-0.0006058525049868052,0.13039272848302896,0.1284238945254388,0.1322137886552185,-0.006749943508748422,0.06801455757111734,-0.013034227502348216,0.10285606289294326,0.12803902001735412,0.019616213617627738,-0.022116826112212152,-0.014164598922227913,,0.0067513174740651705,0.04313620111813197,0.010583508549421217,0.09516326798221471,-0.010904306809114908,0.1371448135244699,-0.0016420188940876137,0.03875824996259097,0.013231037525708356,0.0033534578124889904,0.017046042278438228,0.05174573805279994,0.03708525505845028,0.08557881454661052,0.0017160978343906358,0.13823749444183522,-0.0037144034756777075,-0.019281895635454738,0.045107188788097,-0.016462126591035426,0.041091547688343985,0.005392497366641345,0.06375826679098467,0.03976946594229748,-0.0072010429590756864,0.033589941236885204,-0.011959886519647885,0.10260937410865464,0.06344167960513422,0.04682265620309068,-0.024799738678414535,0.011098300645812331,0.04572064452006909,0.05096865107553768,-0.008534193867758316,0.03148426908384768,0.040452805743691006,0.03879659248735729,0.006465282808233448,-0.001659521940197557,0.06534005205437207,0.08230632104720075,0.010415649551022584,0.06326435771454131,0.0482528338158165,0.085010619622269,0.052534768473779324,0.08605808321697672,-0.033118671579617266,0.08056718032012353,0.015460034961110196,0.02120399802969788,0.04731116534901135,0.026829686020718852,0.0160704688047698,0.05202992768764224,0.025535285547742842,0.03468287457427023,0.014989348916035566,0.05713761286372364,0.020682230102532673,0.050183893339163864,0.010560366981623576,0.06579321423663397,-0.03584081186255342,-0.007095703174568763,0.02357574461160619,0.07631467700939415,0.016717925350974768,0.029523311237678627,0.08851674442920283,0.013941238335417206,-0.01860055629151228,0.07600208118524333,0.026141312853134247,0.042605264339052526,0.044925060690942764,0.04688575167923454,0.07213238291226048,-0.005227337740273669,-0.008651165443139302,0.01636995398373866,0.034688514800213975,0.06687053080850576,0.023558181931167814,0.035441594230623846,0.021827574141668325
hcfc1,-0.0002981833731136285,0.026503252530201547,0.040701395996334176,0.06307095301975879,0.9999999999999998,0.012267136054201232,0.014454886329530412,0.04510612282929525,-0.009618783572058412,0.07473608646666477,0.04473040302919193,0.06308035744672748,0.012114733241851064,0.02633985556209818,0.06542023813479979,0.008274672365781286,0.042892359097384924,0.0025128576158681953,0.046135052826306554,0.04397552622262601,0.016722708320280447,0.005887245271628583,0.08795909736811708,-0.03585102790170506,0.0438802570500616,0.02468747232245456,-0.0313183080359724,0.01979309603992426,0.026102476625425173,0.03543493837336931,,0.05511989469771348,-0.014245735240767922,0.03083780753579335,-0.014024085710036672,0.035311871745310565,-0.0013894889192465152,0.028459423761227856,,0.02251360885650409,0.0690781686448166,0.08343919314454142,0.08083169263411326,0.09657636300243896,0.04046975996842861,0.018426389356785918,-0.010693063613772395,0.02574339782204025,0.06306782729272424,0.012561745161862222,-0.03624584201750784,0.022948797263570225,,0.011454951698041747,0.06246584113054982,0.007380557895613377,0.06167991825064645,0.004654590744130622,0.050012969250547566,0.015056986511640443,0.024513848886462068,0.007216172629093736,0.04358237204310258,0.029519104662327503,0.02859453028098002,0.009381128604391472,0.025664495184942633,0.01590701880553897,0.08392153932316809,0.016280236042883478,-0.019284258177191097,0.02947408695494843,-0.021239778088980463,0.05117210528190326,0.013132168173994504,0.030002126814091732,0.0458004803390895,-0.01664261474806546,0.02281908527619055,-0.007988947943964158,0.0775730825164926,-0.012581183419189929,0.042387144058893746,0.013634877894271874,0.038975808150366234,0.021830364159985682,0.039479457745374966,0.0011792938889588133,-0.021987544707583573,0.03811851056128079,0.006490787069857378,-0.0320179302783962,0.03057114648949599,0.051961495679902894,0.07489498025355974,0.010524457906517038,0.03735507942470536,0.04549595584150747,0.02153077216506093,0.029856850545894768,0.018967206456681065,0.03617762277707748,0.041200712706791584,-0.01144310773046648,0.019365694001009442,0.025984045513539878,-0.009811257582215821,-0.017507556046255077,0.03987556033403362,0.020002464405658234,0.009471971149596215,0.013019083432295527,0.040614041276720574,-0.01637347781887926,0.04548401403613265,0.0014661518780916523,0.04200765271662725,-0.027926761216026177,-0.006897857478844296,0.04481416727826382,0.011856201293153719,0.013575943624250868,0.02653245724033134,0.05810042934659845,0.04454837183625835,-0.0010785790173507065,0.05151741882562438,0.006974021168565934,0.04413964915150398,0.0032163110218578037,0.059562197601079316,0.041104562139179526,-0.007898721340966202,-0.01256200317342647,0.010737902481818662,0.0459195992258257,0.011216627089191144,0.043359247875755375,0.013842706088195692,0.033550542859733655
mef2c,0.031178428397374038,0.0018954036278065382,0.027801107062691562,0.003882173730807587,0.01226713605420123,1.0,0.10582667537531631,-0.03136970324022618,0.0258155608444766,-0.08974290354830347,0.03481720726900497,0.03963524576151993,0.0074083704140793976,0.050756095215671246,0.21295874906443263,0.0024510662934240173,-0.0013677109218078705,0.01662090962137689,-0.0798470080156301,-0.050406483040275014,0.018392714198663253,-0.01957890390160121,0.007407980607320906,0.035765468399356536,0.028345498293161332,-0.010493287363721284,0.06608003257709348,0.004815667220083288,0.11932711662873559,-0.03661326665809729,,-0.020528582603262034,0.031203485389830338,0.015151574886337225,0.04371705830305066,0.0032889948683602122,0.02325211011225683,0.012475694344592052,,0.03461745057021697,0.033019641697831024,-0.08986334195093755,-0.06858679733190233,-0.06110184367912986,-0.010068633399862043,-0.1513136661736841,-0.009623379599372853,0.023471849472757034,-0.00968704378400781,0.014422359822421026,0.04118543970647944,-0.011929100970721212,,-0.015554869889329605,-0.019783132620655598,-0.02867701767570896,-0.04114987650363488,0.0012209102268304674,-0.02330196422112888,0.06874916130912648,0.0009122852058619876,-0.03200260417163322,-0.0009152137064408497,0.0119545924521432,0.027912697127030175,0.005502855697928872,0.024915586653845165,-0.02142037570611863,-0.09507484206507782,0.05271918231398764,0.005097419048019263,-0.0851431598018173,-0.010916020973047346,0.021444616409896162,-0.004993732683014975,0.014382192899601194,0.06336374255654356,0.05446909778948538,-0.07776567888263176,-0.019684601709990094,-0.019373481415397936,-0.00522205280504632,-0.02866000235048005,-0.01607805980209567,0.037123638037943434,0.02225783148578327,0.02217555760323451,0.0034722958814229717,-0.032000387663639274,0.08092507494957499,-0.01663747319506621,0.00657508948516477,0.02846327106774867,-0.02160017060741987,-0.09481453997464966,-0.008958513405157782,-0.0025248203675983178,-0.0049574365698498105,-0.012654026284176782,-0.018041540067019024,-0.010438202261398697,-0.0166184981174454,-0.06473996591950475,0.03367967507394467,-0.015232369921942556,-0.01710609928933974,0.03226356065745168,0.006104032916145082,0.015268958910162495,-0.02855230379724893,-0.024880229893584592,0.057815743263741205,-0.016336143093352393,-0.020905613841879497,0.004739569873382802,-0.004823159684725501,-0.00793228486894893,0.024159134604735795,0.03653119256729131,-0.04238971147839443,-0.03081038879190061,0.0031931745168230197,0.04732526368499925,-0.028576992463774608,-0.009598365503764717,-0.029093574509403093,-0.07545170229690203,-0.006592730055982237,-0.018213621612334648,-0.005635852418141838,0.061285850118838414,0.021652671521094437,-0.01364434137358648,0.023453235737582154,0.4118840629113499,0.00033616303236301835,-0.011873528525628953,0.016545363839948056,-0.041334696144138615,0.015202187620885021
ikzf1,0.0015620105595443605,0.013962542279811878,0.04437347033203694,0.02718353892420691,0.014454886329530412,0.10582667537531631,1.0,0.03288514082161962,0.03646313543803742,0.02545719789493854,0.03926171351754391,0.01317912922528765,0.02116592294819758,0.03996466610950281,0.09792838733424296,-0.023385875613669303,0.03714447550640439,0.06291091835398178,0.011703116307791852,-0.024765125744197616,0.054373256023842534,0.02261151998231752,0.04865459968573531,0.013752089406875502,0.017840252860734044,0.014546271572977597,0.06173866220602634,0.0033096766576388888,0.033901191015608644,0.01950880699523595,,0.04509027657038735,-0.011263107512305809,0.02361205642551885,0.01148421851531549,-0.004333161526678038,0.0013547517160632419,0.014687920021506106,,0.012730563486393395,0.06807693423666368,0.057683690273751656,0.010802562000318603,0.017565782523685812,-0.028658737659992238,-0.04247576636939097,0.021848463287961712,0.05799112815170855,0.04150999442544187,0.015487247591744267,0.03370225188896167,-0.012620532146246432,,-0.01248934798470209,0.017703149223069287,0.0139899138453967,0.0030025658080838537,-0.011112931978849964,0.03311425009123786,0.0035680552638079946,0.0644586848871795,-0.02327166926629356,0.03617675194327629,-0.017781258692047133,0.05137362586802972,-0.04153706943767134,0.046276785842248896,0.03696539495693606,0.0164888220357687,0.017547773602487472,0.03056894393986362,-0.012583630897140452,-0.020899918119480717,0.025907914084874105,-0.02674899499160432,0.048962498186691836,0.014881306198916592,0.013132072787802788,-0.016240899679271326,0.009602567081148568,0.049717714970456205,0.026231568274075603,0.001460946958982655,-0.00199486940078271,-0.025748741586342785,0.04904959291877201,0.016674528867414846,0.006433402977461651,-0.022262526210499435,0.06363109268284693,-0.010066253681220154,0.004155225594997353,-0.00365182146458957,0.03854232508098464,0.01850227034754329,-0.014115218454182649,0.0080552076609713,0.04561731488683021,0.005491927758760307,0.025062695635469312,0.031078897641894577,0.012474494688901794,0.013689148035203167,0.02356331760443438,-0.01641133309217761,0.053808574141043924,0.033413584510798615,0.03623670179907179,0.019293203068419373,0.006958255780799935,0.04483681224222732,0.033230665251812556,-0.005909334330929396,0.015656558815628444,-0.0052648667156958455,0.0020973455878346334,0.037138202676345405,-0.023052134878185592,0.02061743984703819,0.0030332401697438214,-0.002207170405811504,0.005167725918589412,-0.0006281478348005399,0.06148276704146626,0.02714023171413857,-0.0030173666863797834,0.02007119129167185,-0.03216971889390503,0.01062708396152972,0.026153408650770826,0.036410604831996804,0.027757953499339513,-0.0002807174724105648,-0.025728765861158565,0.14930877106764734,0.005625961149034459,0.025190621183537914,0.033693855373140305,0.03906859377824156,0.0028156309713930905
jun,-0.02320970338284913,0.04764419360238345,0.0044822190174327176,0.07239413262344851,0.045106122829295256,-0.031369703240226185,0.03288514082161962,1.0,0.05507292945021338,0.07430645964459838,0.07235032361575475,-0.010667111860329396,0.011383336159379134,-0.00021103789219615137,0.00281823912107275,-0.002235423029012628,-0.0021696210050846246,-0.008879201652437019,-0.004043724394651115,0.07379885394711316,-0.018801321699876274,-0.01357392928321798,0.006959174442047263,0.016624539404060078,0.01262958178888847,0.002201725799130673,0.032217205917470355,0.03750157727041743,-0.011581456898093288,0.02813019142916706,,0.10499172201400857,-0.005124384682717882,0.06556796626107614,0.006641060854977699,-0.007571318129974535,-0.004278248094460182,-0.007248405818230217,,0.00830839471292078,0.011320830080054708,0.1466650891666791,0.12643596243391497,0.16818587845844546,-0.002264991413778388,0.10992201444200794,0.04516711013151296,0.08791177336893342,0.0533082410601439,0.0010151735744358108,-0.02732321497339814,0.0088461580327323,,0.03933198421737688,-0.0024178580479333463,-0.011020833511020546,0.09952554470850869,-0.02300320977875009,0.15961583645926966,-0.002649668054612967,0.02567644496174977,-0.026258882529585168,0.016437404988724456,0.01333814025768674,0.05041621392449963,0.010248012392287602,0.031351937909290695,-0.005353517698086782,0.11942888194666348,0.0004679922213587548,-0.015525917787524865,0.052883103624697864,0.020354317037004233,0.008470170533417247,-0.01702928272993711,0.017045402700419137,0.03744096960736389,0.00418167092950109,-0.016076374772369582,-0.02275632800209023,0.0655747716792697,0.03209726192839698,0.01521128920844406,0.015976810951513955,-0.023221659645257912,0.009899722026966663,0.010978443506522136,0.04465258193139227,0.022254766577155076,-0.002813024064551186,0.013970175802484124,-0.0009894800787352612,0.03404236068232884,0.09549662524029312,0.09471129906240404,0.012580767062362861,0.06768461558333623,0.0714488131038326,0.04673725047791847,0.018939177383936887,0.05695939074870233,0.013603326309801034,0.060765420779795076,-0.013862091857232837,0.07122837112191294,-0.009091724583505548,0.021680050784103448,0.04995697989556286,0.04702913974983225,0.008190050026390238,0.08667084319325961,0.007309431647541943,0.08078041367200182,0.017547632861958463,0.012519215184481222,0.023765009311697765,0.01982773865209468,0.00402161670759122,-0.009417502061927823,0.016438830748926145,0.03259554527569043,0.00537548871506804,-0.003219353101372701,0.08082483567670075,-0.006809990907639529,-0.020527880936487716,0.12775358446494917,0.012949307774940242,0.047060168110894994,0.06730281276266838,0.1141239753838244,0.061926001125479115,0.04342242912026947,-0.012815171562105585,-0.039948595829261,0.031238893141749574,0.012676975126074392,0.04281825144960071,0.05435741988133679,0.04926038911118392
irf1,-0.004248381647531849,0.006075235940890294,-0.028344757017307105,0.044460891266024725,-0.009618783572058412,0.0258155608444766,0.03646313543803742,0.05507292945021338,1.0,-0.007845824113591223,0.01690096723778695,0.049284502337021155,0.006568010891965617,-0.003987361900916038,0.014258561456126384,-0.016589340783386385,0.014043871194565901,-0.009547751676889935,-0.02788066812001911,0.039691963811150394,0.001299013094714278,0.01570098324223008,-0.01102158654035325,0.01500196775344846,-0.007838619107762963,0.018977544083259735,0.011725565707672587,0.010269087363188623,-0.017048440952350974,0.004330171921263002,,0.05612263964903791,-0.0055102197655371695,0.03127311988326485,-0.019129504605222798,0.01742397332675302,0.04368688578703076,0.04562342375007324,,0.05081206764435562,0.040077679390859676,0.010341878191003568,0.02696842703836945,0.029436987626098005,-0.009551787979500551,0.018356039587982705,-0.00022549655979741976,0.024950110761173046,-0.009921871592475902,0.05205121676817718,0.03802265424237192,-0.038945122420668936,,0.02309745064337642,0.041264197936532375,0.04395276597592877,0.007581689187512037,-0.00735218029491006,0.017521643391970827,-0.008164696355745776,-0.0020559704039005977,0.0151502935361091,-0.03558914831249438,0.006262100254216598,0.0193726990538488,0.033943018587067636,0.030324005637233132,-0.009961726565897513,0.002511368832383237,0.04010423975129258,0.03436333575030116,0.021516072017956415,0.09521820565425917,0.011893663976511216,0.0052887852263593755,0.009174429031036595,0.033761673663453375,-0.020718185444204285,0.09495168206659235,-0.0062833006931465474,0.005710805456806202,0.007403985978505891,-0.013961484615357555,0.02643238408451975,0.05011555702640627,-0.0087464972162982,0.017955758488798428,-0.012801401243882524,0.01690757583855555,-0.017317660276197123,0.02698025475923987,0.06705169605184683,0.058075453840565804,0.0008529158424973868,-0.013224008272138514,0.051803587919797736,0.026469206855879352,0.03073460562069884,0.028486261362139182,0.01855187182298028,0.022937076214090434,-0.003905277468636493,-0.03308577877278465,-0.007240861722227388,0.007700494965518463,0.03417350276375477,0.032644237351609505,0.027481977120602484,-0.017767180681478773,0.016540489530595733,0.011863092054446543,0.06454189750278205,0.005039070882515853,0.053583371053823804,0.023240265550503195,0.01987000153322212,0.009449431953492684,0.07767751664537062,-0.011540112088182279,-0.013035068856173775,0.020287061957344896,-0.002027352207848507,0.046830128331799246,-0.0037822900095794646,-0.004013811642568123,0.004856789078206944,-0.007356183904474461,0.012117651139112479,0.029263015561492408,-0.02481029146297139,0.014725127061221786,0.08523512637662287,-0.014116828681738039,-0.005521032325772914,0.022054485151105654,-0.021709501371244406,0.02402251927637937,0.02605568474452833,0.03179614633474418,0.01777642086617419
myc,-0.001299411878273828,0.030357446873514098,0.023540150306259156,0.0647239284348648,0.07473608646666478,-0.08974290354830347,0.025457197894938544,0.0743064596445984,-0.007845824113591223,0.9999999999999998,0.08817465886438633,-0.015437396224037322,0.005328808874644448,-0.006981785868580273,-0.028253515757415405,0.03883164614589656,0.05639432117135402,-0.008328592824999564,0.07330245217699963,0.10802312123554735,-0.004471488899236063,0.02743191101234496,0.04532393309807933,-0.027638369675141144,0.020310235553437375,0.020732547064775328,-0.006011309526762296,0.020942608953369562,-0.029867211186833206,0.017341608143880582,,0.042022555325147294,0.028141477459783695,0.023019533336478975,-0.026176871377153667,0.00994845747677853,0.024070444714649787,-0.02007210718764477,,-0.014629984384638221,0.039480762693866654,0.1529130233258869,0.1098679885623887,0.10674117789118598,0.011106113748959203,0.10385927316866608,0.022889330366229317,0.022275265838382134,0.05513582664294783,-0.01692265161616616,-0.08795450520494352,-0.01591862540144253,,0.01721669479418135,0.059237699249513186,0.006785936097742213,0.10981044731133534,0.013498739811025715,0.09638990217551187,-0.03857645918554818,0.024014275692734864,0.03709170045930331,0.09465179453125853,0.024646055306888397,0.09242491138161063,0.015737296963980393,0.027168806136662137,0.05363769785521091,0.152894719489683,-0.0004056758258321145,-0.006802767839611102,0.12300373181875648,-0.010559029634872064,0.06684962184758246,0.0029855331801775698,0.05928826873192457,0.024732988582039876,-0.006692190098696917,0.04214686677640445,0.030436024314275268,0.12029036449958071,0.015203051172666404,0.019094464784253574,0.010753490378090069,-0.0046807328856297995,0.08324391201332813,-0.005649164892266448,0.025821495354541483,0.01117826085363674,0.01295760519690418,0.001537872944803388,0.0054277589978317855,0.0354772561213043,0.017190702451656534,0.1374168641555043,-0.021004646715996448,0.050804116889624135,0.04023879078539399,0.028176323249827016,0.0528119378393356,0.055624093635070634,0.03601428413073138,0.12205107125536749,0.016005859280056687,0.02983035669846664,0.053826415579144214,0.02633051195486764,0.0019404383693533932,0.06997672069267145,-0.009141240637959007,0.03438034608532566,-0.015833662348813855,0.07168170152925807,0.005225418798750567,0.06652318079690202,0.030168249323514827,0.03120456186093015,-0.014905686879661848,3.8038137660154425e-05,0.0018912363069749,0.11639780337865385,0.05225739450164091,0.0035053304823136774,0.10699778657889136,0.03215066910461549,-0.014230232683025786,0.09987980513951668,0.05588511077879175,0.07840861200493361,0.012590856105249069,0.0798097597386681,0.038804439032628125,-0.008821501595900094,-0.003980858827688728,-0.13579172110944185,0.05050407700136894,0.03353535328188857,0.015099436181466665,0.0862723492548368,0.02206764854975315
