sample_size,rep,observed_correlation,p_value,significant,null_corr_threshold,null_corr_variance
6000,0,0.04355703610174012,0.0008,True,0.03620141381145455,0.0001670848045556858
6000,1,0.0513845578288596,0.0,True,0.03599225864019567,0.00016937324204156025
6000,2,0.04979060892344909,0.0,True,0.03742213011429434,0.0001711602234375668
6000,3,0.019992057449056827,0.1222,False,0.03640011751468754,0.0001674463315958258
6000,4,0.03742323707841842,0.0038,True,0.03567075571588603,0.00016793582751184762
6000,5,0.05148038102337729,0.0,True,0.035299331806342524,0.000165208000658937
6000,6,0.053496558900228836,0.0,True,0.03525962144880336,0.00016318889008294537
6000,7,0.06099491844065882,0.0,True,0.03595850377643658,0.00016667004824901955
6000,8,0.04696798288334686,0.0004,True,0.036150518835246274,0.00016819652414152734
6000,9,0.032749462763951714,0.012,False,0.03599334725694853,0.00016562318410678263
6000,10,0.04293486632713535,0.0006,True,0.035529512488562155,0.00016524653501065286
6000,11,0.05257570321841849,0.0,True,0.036365592553709684,0.0001652496183370805
6000,12,0.051840228512065704,0.0,True,0.03553368409394556,0.00016522104538016326
6000,13,0.057368066246793595,0.0,True,0.037207190971234275,0.0001663035531842183
6000,14,0.042619923712471905,0.0008,True,0.03657464522678385,0.00016680143823241586
6000,15,0.037648506491606455,0.0032,True,0.0360340868985913,0.00016341372296369697
6000,16,0.042662254809823066,0.0008,True,0.03599152801042863,0.0001668571651491754
6000,17,0.042981362611766924,0.0008,True,0.036889469295990754,0.00016961638891794818
6000,18,0.044751941201906835,0.0002,True,0.03511245771675462,0.00016664502829401558
6000,19,0.056934614596327225,0.0,True,0.03488644793546173,0.00016322822052124538
6000,20,0.03808824535045986,0.0044,True,0.03674950259729245,0.00016859444750183693
6000,21,0.048164456988400356,0.0,True,0.036345446153753264,0.00016893397596199228
6000,22,0.05144033299064794,0.0,True,0.03503303703299796,0.000162260526156645
6000,23,0.04304413293371016,0.0004,True,0.03599080806577895,0.00016147753380338527
6000,24,0.06645347845409093,0.0,True,0.035891921058583715,0.0001678148614248675
6000,25,0.03715828967185404,0.0042,True,0.03720797676756807,0.00016912960793958096
6000,26,0.043401880306221365,0.0004,True,0.035874032309131415,0.00016544334882497317
6000,27,0.03669005617356243,0.0042,True,0.036549450109970474,0.00016758371747864888
6000,28,0.03637045222020502,0.0022,True,0.03479717181820786,0.00016508211685167579
6000,29,0.043982662884895066,0.0002,True,0.035239479046115414,0.00016330708148653935
6000,30,0.056219871900626085,0.0,True,0.036286872044933076,0.00016519999479560897
6000,31,0.05629591510901945,0.0,True,0.03612984958716176,0.00016641681193891791
6000,32,0.045147370702152814,0.001,True,0.03730503672943905,0.00016755565819281463
6000,33,0.0445516655346517,0.0006,True,0.03546084226201032,0.00016630159362670334
6000,34,0.060346275727411115,0.0,True,0.036303451042532645,0.00017203748546082792
6000,35,0.04907677952130917,0.0,True,0.0369831215907614,0.00016786705204527595
6000,36,0.057043992205131525,0.0,True,0.036138963029561155,0.00016916204184789466
6000,37,0.06464834346015301,0.0,True,0.036070866483974964,0.0001665267111600433
6000,38,0.05096298863695378,0.0002,True,0.0349514771569462,0.00016388093588077298
6000,39,0.06276514557010902,0.0,True,0.0363883305822607,0.00016474102911732125
6000,40,0.05077952768907419,0.0,True,0.035782799264847516,0.00016782330273876927
6000,41,0.0433969854291912,0.0008,True,0.03551002229570609,0.00016821088210509997
6000,42,0.03924712930999516,0.0016,True,0.03584057604123025,0.00016669165987237303
6000,43,0.047497037605057434,0.0,True,0.03682295916931236,0.0001650220465432085
6000,44,0.055915969827859506,0.0,True,0.035917340453407574,0.00016607469119935724
6000,45,0.04175301701843202,0.0016,True,0.035726420999199704,0.00016566071468625517
6000,46,0.04929298859367596,0.0002,True,0.03604073021040939,0.00016543659759270054
6000,47,0.043822426734642844,0.0008,True,0.03609006896165986,0.00016545648802385272
6000,48,0.05615454585430081,0.0,True,0.037675390550242556,0.000171708115784403
6000,49,0.03521347692290834,0.0076,True,0.036645335154277495,0.00016460967977422638
6000,50,0.03773903117420453,0.0034,True,0.036648012757084035,0.00016654909641317808
6000,51,0.0407509038331093,0.0022,True,0.0365772343203508,0.00016445260268624774
6000,52,0.05281711432594644,0.0,True,0.03535128407075947,0.0001646495769276688
6000,53,0.04110616106801209,0.0012,True,0.035532655024795634,0.00016465589486611243
6000,54,0.04930576252800585,0.0,True,0.03709370665430261,0.0001692791474343495
6000,55,0.04642307483802642,0.0,True,0.03597894066948334,0.00016656165244299502
6000,56,0.05637552121016322,0.0,True,0.035221941775568824,0.0001656180076877668
6000,57,0.047753835913825045,0.0002,True,0.03657596195658552,0.00016800234787377758
6000,58,0.044410817550343915,0.0008,True,0.0364537104130214,0.00016517218482741097
6000,59,0.04950628707509578,0.0,True,0.03636728765392967,0.00016552639812096492
6000,60,0.0614137013378083,0.0,True,0.03738995739718939,0.00016825858062021498
6000,61,0.03830478683330211,0.004,True,0.03721153115039873,0.0001685961220555579
6000,62,0.04573297094824693,0.0004,True,0.036645923367524605,0.00016749579785209955
6000,63,0.051092195735098836,0.0002,True,0.03686520478408258,0.00017223976228095424
6000,64,0.0587642349574376,0.0,True,0.03713772936978453,0.0001649069727345589
6000,65,0.0531943266990195,0.0,True,0.036658169330542965,0.00016979608894771814
6000,66,0.05293665667038565,0.0,True,0.03632035750369948,0.0001680428496303669
6000,67,0.06734933418293622,0.0,True,0.03591603907873503,0.0001663542175292437
6000,68,0.06125075340657387,0.0,True,0.036072249338761686,0.00016536516364544504
6000,69,0.053124942354294435,0.0,True,0.03665484547541372,0.00016928422941468903
6000,70,0.03352007730472547,0.009,True,0.03688669814206674,0.00016565394523443636
6000,71,0.05077282703319388,0.0004,True,0.03652124802168239,0.00016628313193293586
6000,72,0.056476676380083385,0.0,True,0.03590503055505443,0.00016576890513655203
6000,73,0.05579143638228229,0.0,True,0.037062648424506184,0.00016739373393080228
6000,74,0.06174721396827973,0.0,True,0.035650355675333395,0.000163863485567695
6000,75,0.047909946680984285,0.0002,True,0.03675731763947694,0.00016696519648018513
6000,76,0.04638376767643007,0.0004,True,0.037196576864144834,0.00016731961282214543
6000,77,0.05990074793795013,0.0,True,0.0355332766054101,0.00016682644118251065
6000,78,0.03343196402266684,0.0102,False,0.03660611771739227,0.00016804405404491162
6000,79,0.054836737644519976,0.0,True,0.03634272633130913,0.0001663041580324811
6000,80,0.03798348878918651,0.004,True,0.03716716324885923,0.0001652025616845071
6000,81,0.05198514549164951,0.0002,True,0.03591197781972671,0.00016843264021132123
6000,82,0.03400751888121643,0.0084,True,0.036638183473799685,0.00016480671116137312
6000,83,0.034175030954676826,0.0094,True,0.03632504675859372,0.00016528803953416095
6000,84,0.056196486040462255,0.0,True,0.0359614632622722,0.00016222616384715702
6000,85,0.06794005477656628,0.0,True,0.036308634269860994,0.0001675533037623526
6000,86,0.028314822335111345,0.0268,False,0.03652088346569832,0.00016837289036060764
6000,87,0.03627722066680523,0.0056,True,0.036097229310674175,0.00016635386121252138
6000,88,0.04495921389338983,0.0,True,0.03576075779367295,0.0001641104333092821
6000,89,0.04113478093601745,0.0022,True,0.03676570065064345,0.0001697700903505909
6000,90,0.027794125948074143,0.032,False,0.036401355584956614,0.00016694265910110464
6000,91,0.04140188908946503,0.0014,True,0.03681522777329541,0.00016454906424288713
6000,92,0.0534211247932496,0.0,True,0.035994204140199174,0.00016442477389783946
6000,93,0.02210322226002052,0.0926,False,0.03676454425138191,0.00016859180380339326
6000,94,0.0266956318518207,0.0382,False,0.03542204053080551,0.00016463455524206075
6000,95,0.05722769120636172,0.0,True,0.03647627699013143,0.00016641023046787908
6000,96,0.04462082895664467,0.0006,True,0.0365016040898533,0.00016584024016857177
6000,97,0.04442161222378969,0.0002,True,0.0360768594558211,0.00016633550279737398
6000,98,0.046685017829116424,0.0004,True,0.03590730678895773,0.00016447924447843626
6000,99,0.04335197490636293,0.001,True,0.03593354648399848,0.00016514754038153011
4000,0,0.03597133111118061,0.0198,False,0.04380042248723395,0.0002447187248701198
4000,1,0.0549234517492917,0.0002,True,0.043147196514082,0.0002463347590297708
4000,2,0.03187666719627953,0.044,False,0.04418086565607474,0.00024829072758683136
4000,3,0.05379884226469679,0.001,True,0.04349040699588844,0.0002484903352965364
4000,4,0.033003983973404726,0.0374,False,0.0447264182403898,0.0002508885093647553
4000,5,0.04649416243865698,0.0062,True,0.04686222205470274,0.00025127696542646396
4000,6,0.05580971790772397,0.0008,True,0.04636464684383644,0.0002492610384516183
4000,7,0.0547870512909157,0.001,True,0.04474393670108163,0.00025466053796655344
4000,8,0.027972256796194247,0.0732,False,0.04427113901874851,0.000249598395447943
4000,9,0.058885687880853334,0.0002,True,0.04493460134530329,0.00025114957264439267
4000,10,0.03445446863284391,0.0298,False,0.04323688393583729,0.0002551394510762283
4000,11,0.05871181797779891,0.0002,True,0.04500377823078517,0.0002445166083866067
4000,12,0.04693982273931461,0.0038,True,0.044925368261067244,0.0002521833595053151
4000,13,0.04514220779868961,0.0034,True,0.043632333879819636,0.0002465267205219643
4000,14,0.052043677866487524,0.0008,True,0.044040002598638175,0.00025103657718200125
4000,15,0.03764314274069519,0.0156,False,0.04287861199265801,0.00024386408102208045
4000,16,0.04864392209204639,0.0018,True,0.04456781599520616,0.00025499358734074106
4000,17,0.03846106442578069,0.0138,False,0.04461786236410762,0.0002489180444920758
4000,18,0.07104531777569463,0.0,True,0.04545019746401833,0.0002524312242633313
4000,19,0.02016970539213135,0.2076,False,0.04407370305794431,0.00024999052427152854
4000,20,0.06225413807191277,0.0002,True,0.04430222771332505,0.0002470333511124795
4000,21,0.07967181715615076,0.0,True,0.04367008789261302,0.0002494372466491504
4000,22,0.04980673076797229,0.002,True,0.04447185890954765,0.0002533578880175243
4000,23,0.03199164145340473,0.0382,False,0.04398164756238994,0.00024475800674040454
4000,24,0.044434733006679626,0.0048,True,0.044433804087752674,0.00025041150422043605
4000,25,0.06632113796424853,0.0002,True,0.04476631544895452,0.0002517683202992123
4000,26,0.04332593985064844,0.006,True,0.04360247454346558,0.000249779105097542
4000,27,0.07407137096363253,0.0,True,0.044474536034443686,0.0002532107180941703
4000,28,0.054636468993557355,0.0008,True,0.04327884511449498,0.00024492186869395303
4000,29,0.0369015424305484,0.0226,False,0.0454702398809687,0.00025176656703199856
4000,30,0.03629146277664827,0.0218,False,0.04420570733941664,0.00025176669468396866
4000,31,0.0587235509388674,0.0004,True,0.04431242271408778,0.00024863613602744457
4000,32,0.06786304822982421,0.0,True,0.045047145687175244,0.00024980952943075253
4000,33,0.07258154036734765,0.0,True,0.045202144698837037,0.00025575704069543613
4000,34,0.06219296170025454,0.0,True,0.04336239777358822,0.0002507014749755726
4000,35,0.01586609055876768,0.3156,False,0.04338637603233471,0.0002525365992958224
4000,36,0.033729405774655684,0.0316,False,0.0453010312671869,0.0002488194083371641
4000,37,0.040457241937881014,0.0116,False,0.044887380307667896,0.0002484047203331931
4000,38,0.037191232442626995,0.0238,False,0.04509104000189163,0.00024889150457493956
4000,39,0.04008227503970669,0.011,False,0.04448711866804196,0.0002476251781527177
4000,40,0.05712770765659259,0.0004,True,0.04403989624550274,0.0002499469973032336
4000,41,0.048157126824819096,0.0034,True,0.044161963749739276,0.00024724155442068676
4000,42,0.061561645009338035,0.0,True,0.043401296340880115,0.00025333251977142533
